attore,film,anno
Paul Giamatti,Love & Mercy,2015
Jackie Chan,The Tuxedo,2002
Hilary Mason,Don't Look Now,1973
Ruth Roman,Champion,1949
Alysson Paradis,Inside ( l'intrieur),2007
Gang Hye-jung,Wedding Palace,2013
Paul Walker,She's All That,1999
Satoru Fukahori,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007
Bruce Perry,The Imposter,2012
Jason Mraz,The Big Fix,2011
Mike O'Malley,Sully,2016
Brandon Barrera,The FP,2012
Justin Darmanin,Ejecta,2015
Jamie Lee Curtis,Christmas With the Kranks,2004
Seo Young-joo,Moebius,2014
Karl Urban,Dredd,2012
Federico Luppi,La Habitacin de Fermat (Fermat's Room),2009
Leonardo DiCaprio,Inception,2010
Nadine Velazquez,The Bounce Back,2016
Bobby Coleman,The Last Song,2010
William Katt,Sweetwater,2013
Biff McGuire,The Thomas Crown Affair,1968
Tess Haubrich,Bleeding Steel,2018
Panther Bior,God Grew Tired Of Us,2007
Umberto Eco,La Maison De La Radio,2013
Cobie Smulders,Safe Haven,2013
Fred Astaire,Ziegfeld Follies,1946
Gary Lockwood,It Happened at the World's Fair,1963
Kim Greist,Houseguest,1995
Marvin Kaplan,A New Kind of Love,1963
Rebecca Pidgeon,Phil Spector,2013
Casper Van Dien,Starship Troopers,1997
Skip Ward,The Night of the Iguana,1964
Mick Woodmansy,Ziggy Stardust and the Spiders from Mars,1973
Ernest Borgnine,Demetrius and the Gladiators,1954
John Corbett,God's Not Dead: A Light in Darkness,2018
Kelly Rutherford,I Love Trouble,1994
Fortunio Bonanova,Romance on the High Seas,1948
Charley Grapewin,They Died With Their Boots On,1941
Mary Philips,A Farewell to Arms,1932
Louis Lombardi,How Sweet It Is,2013
Melissa McCarthy,The Nines,2007
Norman Burton,Bloodsport,1988
Mike Colter,Girls Trip,2017
Peter Gallagher,High Spirits,1988
Carol Kane,Ava's Possessions,2016
Famke Janssen,The Ten,2007
Charles Tyner,Jeremiah Johnson,1972
Tina Aumont,I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence),1973
Pio Marma,Back to Burgundy (Ce qui nous lie),2018
Dick Schaap,The Life and Times of Hank Greenberg,2000
Stefan Gdicke,Simon and the Oaks,2012
Duarte D'Almeida,The Convent (O Convento),1995
Zain Ali,Arctic Tale,2007
Jane Beasley,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",2011
Peter Falk,The Great Muppet Caper,1981
Stephen Dorff,Shadowboxer,2005
Cliff Saunders,Outlander,2009
Lee Atwater,Boogie Man: The Lee Atwater Story,2008
Nicoletta Braschi,Down by Law,1986
Emory Cohen,The Hungry Ghosts,2010
Dylan Walsh,Congo,1995
Rene Asherson,Henry V (The Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France),1946
Bess Armstrong,Second Sight,1989
Sarah Kazemy,Circumstance,2011
Helen Morse,Picnic at Hanging Rock,1975
Martha Hyer,The Sons of Katie Elder,1965
Paz Vega,Cat Run,2011
Susan Sarandon,The January Man,1989
Nadia Alexander,Blame,2018
Thophile Baquet,La nouvelle guerre des boutons (War of the Buttons),2012
Blandine Bury,Secret Things,2003
Louise Fokkens,Ouwehoeren (Meet the Fokkens),2012
Eric Meador,Hell and Back Again,2011
Rene Zellweger,Bridget Jones's Baby,2016
Stephen Baldwin,Bio-Dome,1996
Saul Rubinek,The Family Man,2000
Chubby Jackson,A Great Day in Harlem,1995
Leslie Banks,The Man Who Knew Too Much,1935
Clint Eastwood,Dirty Harry,1971
Tim Daly,Basic,2003
Michael Ray,The Tin Star,1957
Katija Pevec,The Den,2014
John Vernon,National Lampoon's Animal House,1978
Pollyanna McIntosh,The Woman,2011
Joan Fontaine,Until They Sail,1957
John Wayne,Angel and the Badman,1947
Michael Winslow,Police Academy 4 - Citizens on Patrol,1987
David Mller,Spiral,2007
Bar Paly,Pain & Gain,2013
Veronica Lake,I Married a Witch,1942
Darius Sinathrya,Red & White (Merah Putih),2009
Luodan Wang,Rise of the Legend (Huang feihong zhi yingxiong you meng ),2016
Fred Ward,Uncommon Valor,1983
Anthony Hopkins,Howards End,1992
Freddie Prinze Jr.,Summer Catch,2001
Jessica Biel,Accidental Love,2015
Stefanie Martini,Crooked House,2017
Herbie Hancock,Valerian and the City of a Thousand Planets,2017
Harry James,The Ladies' Man,1961
Aloma Wright,The Gospel,2005
Eugene Levy,Cheaper by the Dozen 2,2005
Sally Field,Little Evil,2017
Robert Downey Jr.,The Shaggy Dog,2006
Charlotte Lundgren,Big Boys Gone Bananas!*,2012
Brian Posehn,The Comedians of Comedy,2005
Brendan Sexton III,Hurricane Streets,1997
William F. Buckley,Best Of Enemies,2015
Genesis Rodriguez,Tusk,2014
Gig Young,Game of Death,1978
Robert Mitchum,The Grass Is Greener,1960
Annika Hallin,The Girl Who Kicked the Hornet's Nest,2010
Klaus Lowitsch,Firefox,1982
John Schneider,October Baby,2012
Doug Tompos,Diane,2018
Jordi Molla,Criminal,2016
Calvin Lockhart,Let's Do It Again,1975
Carly Chaikin,Social Animals,2018
Sarah Schaub,A Home of Our Own,1993
Frank Deford,The Year of the Yao,2005
Maya Angelou,Madea's Family Reunion,2006
Jon Budinoff,Kill the Poor,2006
Fay Masterson,The Power of One,1992
Emily Blunt,Live Die Repeat: Edge of Tomorrow,2014
Rose Byrne,Insidious: Chapter 2,2013
Kelly Agbowu,Dreams of a Life,2012
Fred Astaire,The Band Wagon,1953
Gholbahar Janghali,Secret Ballot,2002
Charles Winninger,State Fair,1945
Riley Keough,It Comes At Night,2017
Michael Winslow,Police Academy 6 - City Under Siege,1989
Denis O'Dea,Niagara,1953
Emmanuel Garijo,The Red Turtle (La tortue rouge),2017
Cliff Robertson,Wild Hearts Can't Be Broken,1991
Kath Soucie,The Rugrats Movie,1998
Tony Shalhoub,Final Portrait,2018
Jennifer Wade,No Reservations,2007
Gosia Dobrowolska,Careful,1993
Jennifer Connelly,Salvation Boulevard,2011
Dieter Kirchlechner,Homo Faber (Voyager),1991
Alison Steadman,Shirley Valentine,1989
Eiji Okada,Woman in the Dunes (Suna no Onna),1964
Martha Wentworth,The Sword in the Stone,1963
Benno Frmann,Joyeux Nol (Merry Christmas),2006
Jean Wall,Elevator to the Gallows (Ascenseur pour l'chafaud),1958
Sara Marsh,Sugar & Spice,2001
Emma Roberts,The Art of Getting By,2011
Bo Petersen,Chronicle,2012
Michael Gough,The Cherry Orchard,2000
Hugh Griffith,How to Steal a Million,1966
Bob Balaban,The Monuments Men,2014
Corinne Bohrer,Vice Versa,1988
Billy Baggett,Fuel,2008
Dorothy McGuire,Three Coins in the Fountain,1954
Jonathan Lambert,Reality (Ralit),2015
Erik Stolhanske,Beerfest,2006
Minnie Driver,Hard Rain,1997
Janet Key,Dracula A.D. 1972,1972
Benson Fong,Girls! Girls! Girls!,1962
Tim Allen,Zoom,2006
Michael Mesmer,Dead Time Stories,1986
Patrick Dempsey,With Honors,1994
Francesca Eastwood,M.F.A.,2017
Lindy Booth,American Psycho II: All American Girl,2002
Helen Mirren,The Madness of King George,1994
James Caan,Countdown,1968
Thomas Mitchell,High Noon,1952
Minnie Driver,The Wilde Wedding,2017
Chi McBride,Hoodlum,1997
Matt Damon,Spirit - Stallion of the Cimarron,2002
Thandie Newton,The Journey of August King,1996
Benji Thall,Homeward Bound - The Incredible Journey,1993
Arnold Schwarzenegger,Raw Deal,1986
Gregg Henry,The Big Brass Ring,1999
Steve Baxter,The Miners' Hymns,2012
Rabbi Marvin Hier,Ever Again,2006
John Malkovich,Deepwater Horizon,2016
Stephen Fry,That Sugar Film,2015
Tyrese Gibson,Transformers: The Last Knight,2017
Jason Kennedy,90 Minutes In Heaven,2015
Emmanuelle Devos,The Other Son,2012
Susie Porter,Bootmen,2000
Jennifer Aniston,Friends With Money,2006
Joy Bryant,About Last Night,2014
Fiore Tedesco,Severed Ways: The Norse Discovery of America,2009
Cesar Perez,Beast of Burden,2018
Shaun Benson,ARQ,2016
Yves Montand,Le Joli Mai,1963
Jrgen Prochnow,The Seventh Sign,1988
Christopher Plummer,Priest,2011
Marsha Mason,Drop Dead Fred,1991
Bryan Cranston,Drive,2011
Saul Rubinek,War (Rogue Assassin),2007
Zuleikha Robinson,The Namesake,2006
Katja Schuurman,Black Out,2014
Sakina Jaffrey,Where God Left His Shoes,2007
Whoopi Goldberg,How Stella Got Her Groove Back,1998
Ron Eldard,House of Sand and Fog,2003
Andy Garcia,Let's Be Cops,2014
Sarah Malone,You've Been Trumped,2012
Paul Rudd,This is 40,2012
Leonard Nimoy,Star Trek V - The Final Frontier,1989
David Caruso,Mad Dog and Glory,1993
Elizabeth Taylor,Reflections in a Golden Eye,1967
Fred Dalton Thompson,In the Line of Fire,1993
Pablo Rosso,[Rec],2007
Amanda Seyfried,Jennifer's Body,2009
Samuele Puccilo,Fire at Sea (Fuocoammare),2016
Reinhard Kolldehoff,Shout at the Devil,1976
James Coco,Wholly Moses!,1980
Lebohang Ntsane,The Forgotten Kingdom,2013
Ian McShane,The Last of Sheila,1973
Tim Jenison,Tim's Vermeer,2014
Ian McShane,Sexy Beast,2000
Lili Taylor,The Notorious Bettie Page,2006
Harumi Kiritachi,Daikaij Gamera (The Giant Monster Gamera),1965
Katarina Carlson,Stop The Pounding Heart,2014
Angie Harmon,Batman Beyond: Return of the Joker,2000
Abigail Breslin,Janie Jones,2011
Gene Lockhart,Abe Lincoln in Illinois,1940
James Flanagan,Absentia,2012
Jamie Foxx,Booty Call,1997
Val Avery,Minnie and Moskowitz,1972
Leon Ames,The Absent-Minded Professor,1961
Nick D'Agosto,Fired Up,2009
Campbell Scott,Singles,1992
Hannes Brummer,Skin,2009
Milt Kamen,The Out-of-Towners,1970
Skye McCole Bartusiak,Boogeyman,2005
Fred Williamson,Hell Up in Harlem,1973
Maya Angelou,Poetic Justice,1993
Eugene Levy,Bringing Down the House,2003
Rhea Perlman,Matilda,1996
Nas,Nas: Time Is Illmatic,2014
Andrea Riseborough,Brighton Rock,2011
Sylvester Stallone,Cobra,1986
Hyman Wein,Wizards,1977
Corbin Bernsen,An American Affair,2009
Marcuz Jess Petersen,Klovn: The Movie (Klown),2012
Tom Everett Scott,Dead Man on Campus,1998
Michael Weston,Pathology,2008
Paul Giamatti,Ratchet & Clank,2016
Cher,Moonstruck,1987
Brian Keith,Savage Sam,1963
Lili Taylor,Four Rooms,1996
D.J. Cotrona,Love Is the Drug (Addicted to Her Love),2006
Chuck Norris,The Hitman,1991
Ben Stiller,Zoolander 2,2016
Luminita Gheorghiu,12:08 East of Bucharest (A fost sau n-a fost?),2007
Michael Twaine,After Image,2001
Frank McRae,Farewell to the King,1989
David Proval,Innocent Blood,1992
Don Murray,Conquest Of The Planet Of The Apes,1972
Niels Arestrup,Our Children,2013
Barnie Duncan,Good for Nothing,2012
Ruben Blades,The Two Jakes,1990
Michael Weston,The Dukes of Hazzard,2005
Eli Wallach,The Deep,1977
Peter Capaldi,Local Hero,1983
James Cagney,City for Conquest,1940
Lucile Watson,The Thin Man Goes Home,1945
Gale Sondergaard,The Mark of Zorro,1940
Hilary Barraford,The Ice Cream Truck,2017
Marina Black,Ted Bundy,2002
Shane Briant,Frankenstein and the Monster from Hell,2003
Mithun Chakraborty,Guru,2007
Erica Sweany,It Had to Be You,2016
Nebojsa Glogovac,Cabaret Balkan (Bure baruta),1999
Daniel Auteuil,My Favorite Season (Ma saison prfre),1996
Chris Kattan,Delgo,2008
Irma St. Paule,Satan's Playground,2006
Arielle Holmes,American Honey,2016
G-Thang,Disaster Movie,2008
Jim King,The Blair Witch Project,1999
Shane Daly,Hostel,2006
Richard Pryor,Richard Pryor Here and Now,1983
Barbara O,Daughters of the Dust,1991
Jack Carson,Romance on the High Seas,1948
Henry Fonda,War and Peace,1956
Jodie Foster,The Silence of the Lambs,1991
Eileen Atkins,Cold Mountain,2003
Tom Mison,Salmon Fishing in the Yemen,2012
Mark Williams,The Borrowers,1998
John Goodman,In the Electric Mist,2009
Ethan Embry,The Reunion,2011
Rosanna Arquette,Big Bad Love,2001
Julie Delpy,Richard Linklater: Dream Is Destiny,2016
Sam Robards,The Art of Getting By,2011
Wendell Pierce,The Runner,2015
Harry Anderson,Stephen King's It,1990
Mira Sorvino,Look Away,2018
Dan Aykroyd,Trading Places,1983
Marco Rodriguez,Nightcrawler,2014
Gennie Nevinson,Muriel's Wedding,1995
Michael Ironside,Crime & Punishment in Suburbia,2000
Indigo Rael,Marfa Girl,2015
Lindsay Lohan,InAPPropriate Comedy,2013
Noah Emmerich,Jane Got a Gun,2016
Sophia Bairley,Canvas,2007
Martin Lawrence,Nothing to Lose,1997
Jason Patric,Rush,1999
Jerome Jackson,Ghost Bird,2009
August Roads,Delirium,2018
Jennifer Lopez,Ice Age: Collision Course,2016
Brie Townsend,Body of War,2008
Christopher Mintz-Plasse,Kick-Ass,2010
Tom Hanks,Sully,2016
Taylor Ashley Murphy,Nightlight,2015
Tangi Miller,Leprechaun: Back 2 tha Hood,2003
Craigus R. Johnson,Hollywood Shuffle,1982
Debbi Morgan,Woman Thou Art Loosed,2004
Kelly Reilly,Calvary,2014
Aubrey Morris,Tales from the Crypt Presents Bordello of Blood,1996
May McAvoy,The Jazz Singer,1927
Ingrid Bergman,Murder on the Orient Express,1974
George Kennedy,The Naked Gun: From the Files of Police Squad!,1988
Michael Rooker,Super,2011
LL Cool J,Slow Burn,2007
Henry Kissinger,Harry Benson: Shoot First,2016
Ann Hagemann,Hannah Free,2009
Georgio Albertazzi,L'anne dernire  Marienbad (Last Year at Marienbad),1961
Bernhard Goetzke,Destiny (Der mde Tod),1924
Crispin Glover,Chasers,1994
Mary Scheer,Elvira's Haunted Hills,2001
Rubn Ochandiano,Che: Part Two (Guerrilla),2008
Alanis Morissette,Radio Free Albemuth,2014
Hank Azaria,Happy Feet Two,2011
Kristina Shannon,Somewhere,2010
Mark Dacascos,Nomad,2007
Grigory Rodchenkov,Icarus,2017
Paul Scheer,Hell Baby,2013
DJ Qualls,Small Apartments,2013
Tony Leung Chiu Wai,Infernal Affairs (Mou gaan dou),2002
Lauren Coe,The Devil's Doorway,2018
Tom Berenger,The Big Chill,1983
Andree Tainsy,Sous le sable (Under the Sand),2001
Ian Beattie,Viking Destiny (Of Gods and Warriors),2018
Coleen Gray,Nightmare Alley,1947
John August,Tales From the Script,2010
Suzanne Pleshette,Nevada Smith,1966
Audrey Tautou,A Very Long Engagement,2004
Ben Cross,First Knight,1995
Barry Kroger,Demon Seed,1977
Richard Gere,Mr. Jones,1993
Christopher Sommers,The Horseman,2008
David Gulpilil,Crocodile Dundee,1986
Dennis Price,A Canterbury Tale,1949
Millie White,Poison,1991
Kay Tong Lim,Fifty/Fifty (50-50),1993
Martin Freeman,Breaking and Entering,2007
Ben Lloyd-Hughes,Malevolent,2018
Rob Riggle,Nature Calls,2012
Kevin Connolly,He's Just Not That Into You,2009
Conan Lee,Gymkata,1985
Irne Jacob,Dying of the Light,2014
Adam Garcia,Confessions of a Teenage Drama Queen,2004
Wei Fan,City of Life and Death,2011
Kevin Kline,As You Like It,2006
Pepn Nieto,Witching and Bitching,2014
Rick Schroder,Black Cloud,2005
John Cusack,Hot Tub Time Machine,2010
Joan Cusack,High Fidelity,2000
Jonathan Jackson,Skeletons in the Closet,2001
Jim Caviezel,The Thin Red Line,1998
Richard Arlen,Wings,1927
Allen Covert,Anger Management,2003
Jon Favreau,Term Life,2016
Anette Stvelbk,Italian for Beginners,2001
Jeremy Gardner,Spring,2015
John Boorman,Chris & Don,2007
James Caan,The Rain People,1969
Norman Rodway,Chimes at Midnight,1965
Anne Hathaway,Rio 2,2014
Pierre Benedetti,La Bte (The Beast),2014
Gracy Singh,Lagaan: Once Upon a Time in India,2001
Jean Paul Leroux,Secuestro Express,2005
Angela Goethals,Behind the Mask: The Rise of Leslie Vernon,2006
Oasis,Mayor of the Sunset Strip,2004
Alia Shawkat,The Brass Teapot,2013
Reginald Owen,The Canterville Ghost,1944
Koyu Rankin,Isle of Dogs,2018
Mirai Yamamoto,Jackie Chan's Who Am I? (Wo shi shei) (Who Am I?),1998
Robin Williams,House of D,2004
Stephen Dorff,Jackals,2017
John Stuart,Number Seventeen (Number 17),1932
Adam Carolla,Road Hard,2015
Annie Wu,Jackie Chan's First Strike,1996
Gary Bullock,Terminal Velocity,1994
Vince Vaughn,Clay Pigeons,1998
Kevin Connors,Phantasm: Lord of the Dead,1994
Kirby Morrow,Drone,2017
Arnold Friedman,Capturing the Friedmans,2003
George C. Scott,The Exorcist III,1990
Glenne Headly,Bartleby,2002
Glenn Close,The Chumscrubber,2005
Jon Lovitz,Mom and Dad Save the World,1992
Jonina Pordis Karlsdottir,Heartstone (Hjartasteinn),2017
Pat Hingle,The Grifters,1990
Jean Hale,The St. Valentine's Day Massacre,1967
Birgit Minichmayr,Fallen (Falling),2006
Ursula Parker,Cold Comes The Night,2014
Paul Barrett,The Ottoman Lieutenant,2017
Tracey Roberts,Murder Is My Beat,1955
Bert Lahr,The Wizard of Oz,1939
Aubrey Plaza,Mike and Dave Need Wedding Dates,2016
Harold J. Stone,Somebody Up There Likes Me,1956
Florinda Bolkan,Don't Torture a Duckling,1972
Ethan Hawke,Getaway,2013
Kelsey Grammer,Killing Jesus,2015
Donny Osmond,Mulan,1998
Saginaw Grant,The World's Fastest Indian,2005
Julie Walters,Film Stars Don't Die in Liverpool,2017
Mo gallini,Armed Response,2017
Greta Scacchi,Defence of the Realm (Defense of the Realm),1985
Jane Lincoln Taylor,What Alice Found,2003
John Hurt,Watership Down,1978
June Allyson,Executive Suite,1954
lodie Bouchez,CQ,2002
Kuniko Miyake,Early Summer,1951
Jrgen Prochnow,Nanking,2007
Bill Ward,God Bless Ozzy Osbourne,2011
Nick Nolte,Nightwatch,1998
Djimon Hounsou,Push,2009
Arnold Schwarzenegger,Junior,1994
Mark Moses,One Man's Hero,1999
Timothy Olyphant,Dreamcatcher,2003
Troy Garity,Lake City,2008
Lisa Fuller,Teen Witch,1989
John Malkovich,Der Unhold (The Ogre),1999
Bradley Cooper,Hit & Run,2012
Ray Walston,The Apartment,1960
Patrick Fabian,Atlas Shrugged: Part II,2012
Colin McKay,Grind,2003
Saoirse Ronan,City of Ember,2008
Brendan Fraser,The Nut Job,2014
Liza Minnelli,Arthur,1981
Don McKellar,Existenz,1999
Mary Steenburgen,The Grass Harp,1996
Michael McGuire,Hard Times,1975
Natalie Wilemon,Manglehorn,2015
Richard Jenkins,Norman,2011
Elias Koteas,Shooter,2007
Alain Delon,Is Paris Burning? (Paris brle-t-il?),1966
Clotilde Hesme,Three Worlds,2013
Bryan Greenberg,Bride Wars,2009
Skyler Samuels,Helicopter Mom,2015
Katharine Isabelle,American Mary,2013
Norman Newkirk,Brush With Danger,2014
Lisa Langlois,The Slugger's Wife,1985
Johnny Williams,Looking for an Echo,1998
Wang Xiao Xiao,Shanghai Triad (Yao a yao yao dao waipo qiao),1995
Hatty Jones,Madeline,1998
Lew Gallo,PT 109,1963
Cliff Robertson,Gidget,1959
Olivia Vreeland,Diana Vreeland: The Eye Has To Travel,2012
Guy Pearce,Fragments,2008
Dakota Blue Richards,The Secret of Moonacre,2008
Jared Harris,Perfume,2001
Bobb'e J. Thompson,Snowmen,2011
Donald Sutherland,Lock Up,1989
Paul Whitehouse,Tim Burton's Corpse Bride,2005
Maureen Stapleton,The Fan,1981
Clea DuVall,Jackie & Ryan,2015
Junior Labeija,Paris Is Burning,1991
Leslie Caron,Damage,1992
Adrian Lamo,We Steal Secrets: The Story Of Wikileaks,2013
Allen Toussaint,Hurricane on the Bayou,2006
Michelle Rodriguez,The Fast and the Furious,2001
Dominiquie Vandenberg,The Perfect Sleep,2008
Benedict Cumberbatch,Black Mass,2015
Peter Tory,Tabloid,2011
Gene Hackman,Enemy of the State,1998
Danny Denzongpa,Asoka,2001
Ron King,Expired,2008
Rob Campbell,Hedwig and the Angry Inch,2001
Ryan Phillippe,Company Man,2001
Kelsey Grammer,The Big Empty,2003
Colm Seoighe,Song of Granite,2017
J. Smith-Cameron,You Can Count On Me,2000
James Joseph Dresnok,Crossing the Line,2007
Robin Tunney,Paparazzi,2004
Nav Sidhu,The Patrol,2013
Kevin Costner,Rumor Has It,2005
Isabelle Huppert,The School of Flesh,1998
Angelina Jolie,Taking Lives,2004
Dariush Mehrjui,Iran: A Cinematographic Revolution,2007
Sarah Holcomb,Caddyshack,1980
Gia Mantegna,And Soon the Darkness,2010
Armie Hammer,J. Edgar,2011
Alicia Silverstone,Alex Rider: Operation Stormbreaker,2006
Meshar Cohen,Or (My Treasure),2007
Matt Stokoe,The Dyatlov Pass Incident (Devil's Pass),2013
Per Oscarsson,The Night Visitor,1971
Rebecca St. James,Faith Of Our Fathers,2015
Justin Whalin,Super Capers,2009
Shota Sometani,Tokyo Tribe,2015
Momoko Kochi,Gojira,1956
Denny Lee Kirkwood,The Victim,2012
Mlanie Doutey,The Connection,2015
Ozwald Boateng,A Man's Story,2012
Allyn Joslyn,Moonrise,1948
Heath Bergersen,Stone Bros,2009
Hafsia Herzi,La Graine et le Mulet (The Secret of the Grain) (Couscous),2007
Lloyd E. Oxendine,Wendigo,2002
Dan Stevens (IV),Summer in February,2014
Adele Jergens,Abbott and Costello Meet the Invisible Man,1951
Alden Ehrenreich,Rules Don't Apply,2016
Omar Brignoli,The Tree of Wooden Clogs (L'albero degli Zoccoli),1979
Gloria O'Neill,Blue State,2007
Christopher Kadish,Acts of Worship,2003
Maribel Martn,La Novia Ensangrentada (The Blood Spattered Bride) (Blood Castle),1972
Jackie Earle Haley,A Nightmare on Elm Street,2010
Dominique Sanda,The MacKintosh Man,1973
Joanne Whalley,"Paul, Apostle of Christ",2018
Ciarin Hinds,The Tiger's Tail,2006
Bob Hoskins,A Prayer for the Dying,1987
Preston Lacy,Jackass: Number Two,2006
Glenn Ford,Midway,1976
Brad Johnson,Always,1989
Mary Steenburgen,Four Christmases,2008
Khan Baykal,Always Shine,2016
Peter Gallagher,To Gillian on Her 37th Birthday,1996
James Caan,Flesh And Bone,1993
Lisa Kudrow,The Girl on the Train,2016
Thierry Lhermitte,The French Minister,2014
Arturo Castro,Bushwick,2017
Collin Wilcox Paxton,Jaws 2,1978
Julio Chvez,Un Oso rojo (Red Bear),2004
Thomas F. Wilson,Back to the Future Part II,1989
Bill Paxton,One False Move,1992
Richard Dreyfuss,Rosencrantz and Guildenstern Are Dead,1991
Mika Boorem,Sleepover,2004
William Safire,The Trials of Henry Kissinger,2002
Ving Rhames,Con Air,1997
Luis Guzman,Nothing Like the Holidays,2008
Rachel Weisz,Enemy at the Gates,2001
